Total_Pop_2009,Total_Pop_2014,Total_Pop_2019,Total_Pop_2024,GEOID
47388.0,48288.0,48319.0,48555.0,40019
58955.0,57298.0,56433.0,56712.0,47019
63369.0,67851.0,69070.0,69148.0,37031
88208.0,94212.0,101949.0,110041.0,27019
81912.0,81953.0,81625.0,84606.0,30013
16306.0,16002.0,15885.0,15914.0,21045
13575.0,13440.0,12493.0,12784.0,17017
39263.0,38730.0,37880.0,37680.0,18017
13854.0,13694.0,13091.0,13096.0,19029
50483.0,52001.0,51523.0,51520.0,26027
28654.0,28499.0,29268.0,30992.0,27021
97203.0,100339.0,103597.0,110773.0,29037
25495.0,25315.0,25888.0,27161.0,31025
137803.0,158041.0,176975.0,193400.0,38017
29315.0,30350.0,30059.0,28568.0,48067
21154.0,23275.0,23690.0,25483.0,16031
7233.0,8026.0,7673.0,7344.0,48069
23228.0,23357.0,22684.0,22404.0,37033
10424.0,10273.0,9766.0,8583.0,22025
155157.0,154457.0,157613.0,163573.0,37035
62075.0,64955.0,66700.0,68634.0,13047
3410.0,3651.0,3526.0,3743.0,35003
80349.0,79397.0,77121.0,76145.0,36009
3905.0,3922.0,3803.0,3633.0,38019
79994.0,79481.0,77425.0,75102.0,36011
99069.0,101803.0,102552.0,104960.0,24015
17987.0,18434.0,18457.0,18349.0,19031
13790.0,13912.0,14043.0,14615.0,29039
8582.0,8736.0,8498.0,8315.0,31027
144306.0,156240.0,161960.0,158576.0,42027
43927.0,43707.0,42834.0,42632.0,19033
16870.0,18121.0,19557.0,20178.0,08015
34704.0,34091.0,33660.0,34192.0,01017
29198.0,36550.0,41305.0,51498.0,48071
192135.0,204214.0,209922.0,208741.0,17019
39549.0,39628.0,38845.0,38804.0,39021
7777.0,7727.0,7483.0,7390.0,29041
7146.0,7154.0,7014.0,6627.0,51036
140181.0,150960.0,159428.0,170527.0,24017
8999.0,9209.0,9349.0,9281.0,46023
345714.0,365674.0,401165.0,420264.0,45019
26098.0,26038.0,26188.0,26108.0,26029
156043.0,163151.0,181067.0,201064.0,12015
12222.0,12399.0,12040.0,11422.0,51037
41393.0,44505.0,47096.0,45437.0,51540
10700.0,13098.0,13040.0,12818.0,13049
2880.0,2746.0,2637.0,2561.0,20017
3702.0,3990.0,3783.0,3671.0,31029
248078.0,275303.0,288496.0,300879.0,13051
61444.0,66050.0,71338.0,80151.0,37037
14364.0,11846.0,10560.0,8887.0,13053
26492.0,25484.0,24812.0,25036.0,13055
3826.0,3572.0,3323.0,3370.0,20019
134078.0,133556.0,128496.0,125544.0,36013
62365.0,65850.0,65144.0,64217.0,35005
39042.0,39324.0,40181.0,41829.0,47021
26711.0,25821.0,25418.0,25865.0,26031
70668.0,73664.0,76229.0,80172.0,53007
88161.0,88681.0,84895.0,82147.0,36015
50956.0,49868.0,47909.0,46321.0,36017
24427.0,26042.0,25903.0,25443.0,01019
201233.0,221951.0,247515.0,281032.0,13057
11681.0,11982.0,11343.0,11600.0,19035
21295.0,21179.0,20179.0,19151.0,20021
26203.0,27156.0,27969.0,29562.0,37039
45241.0,47860.0,48664.0,47942.0,40021
54175.0,55707.0,56895.0,56647.0,45021
48041.0,50971.0,52118.0,51886.0,48073
5682.0,5749.0,5779.0,5498.0,31031
219425.0,228168.0,239982.0,252583.0,51550
77174.0,76596.0,76042.0,77297.0,33005
486301.0,506422.0,519560.0,547840.0,42029
32666.0,32708.0,32311.0,32182.0,45023
16106.0,17270.0,17190.0,17611.0,47023
42876.0,46333.0,45953.0,43784.0,45025
298009.0,324337.0,343551.0,377869.0,51041
1622.0,2153.0,2026.0,1741.0,08017
2769.0,2695.0,2665.0,2628.0,20023
9829.0,10044.0,9604.0,9533.0,31033
12160.0,12329.0,12026.0,11807.0,19037
18864.0,17376.0,17193.0,16915.0,28017
12279.0,11489.0,10615.0,9765.0,05017
7530.0,7066.0,7253.0,6743.0,48075
42272.0,43781.0,44055.0,45992.0,01021
38700.0,38698.0,37629.0,36295.0,26033
12454.0,12235.0,11953.0,12377.0,27023
59872.0,63051.0,63892.0,66799.0,55017
49771.0,53798.0,55315.0,57991.0,27025
150924.0,158686.0,162646.0,169758.0,50007
14229.0,13546.0,12925.0,12380.0,01023
9106.0,8399.0,8277.0,8118.0,28019
14987.0,15175.0,14807.0,14297.0,40023
5223.0,5859.0,5732.0,5906.0,30015
14629.0,14703.0,14097.0,13836.0,37041
34543.0,34415.0,32931.0,33538.0,17021
79626.0,74459.0,71414.0,72069.0,21047
72551.0,79856.0,85658.0,92915.0,29043
,,,6862.0,02063
24704.0,24347.0,24259.0,25805.0,32001
27120.0,27392.0,26891.0,26845.0,35006
2652.0,2390.0,2174.0,2218.0,40025
138161.0,139771.0,145169.0,162472.0,12017
375858.0,384697.0,410463.0,423975.0,41005
10910.0,9396.0,9089.0,8582.0,28021
31081.0,31841.0,31732.0,32466.0,47025
16311.0,16817.0,15985.0,13833.0,22027
70208.0,72024.0,75392.0,77813.0,53009
30670.0,30786.0,30651.0,31218.0,26035
32863.0,34439.0,33957.0,30986.0,45027
39857.0,39437.0,38715.0,37179.0,42031
23601.0,22800.0,22386.0,21125.0,05019
984.0,823.0,913.0,849.0,16033
16778.0,16240.0,15716.0,15266.0,17023
105280.0,112212.0,116507.0,124354.0,18019
2133.0,2170.0,2026.0,1974.0,20025
35481.0,35633.0,35971.0,37192.0,21049
7178.0,7001.0,6779.0,6675.0,29045
1821507.0,2003613.0,2182004.0,2329548.0,32003
140419.0,137303.0,134726.0,135158.0,39023
3526.0,3631.0,3685.0,3917.0,46025
416205.0,438272.0,473252.0,516959.0,53011
33493.0,34575.0,34579.0,34739.0,55019
26438.0,25331.0,24128.0,22543.0,01025
113112.0,119681.0,126176.0,129609.0,13059
9068.0,9284.0,9360.0,9662.0,19039
17333.0,16509.0,15770.0,15314.0,28023
14359.0,14273.0,14423.0,15216.0,51043
36927.0,37236.0,39102.0,41363.0,41007
13769.0,13617.0,13337.0,14192.0,01027
16045.0,15577.0,14889.0,14280.0,05021
179850.0,194868.0,211405.0,227584.0,12019
3156.0,3110.0,2951.0,2850.0,13061
13729.0,13675.0,13287.0,13052.0,17025
26682.0,26797.0,26234.0,26409.0,18021
16676.0,16555.0,16211.0,16461.0,19041
8662.0,8460.0,8082.0,8048.0,20027
23792.0,21446.0,20368.0,19921.0,21051
54902.0,60249.0,63446.0,66059.0,27027
20881.0,20414.0,19640.0,18383.0,28025
217596.0,227984.0,242516.0,258122.0,29047
6334.0,6425.0,6203.0,6095.0,31035
10084.0,10616.0,10946.0,11610.0,37043
13431.0,13968.0,13957.0,15219.0,46027
7937.0,7802.0,7654.0,7670.0,47027
11102.0,10547.0,10403.0,10495.0,48077
10061.0,9226.0,8709.0,7835.0,54015
271652.0,264221.0,283538.0,298924.0,13063
17667.0,17900.0,17625.0,17013.0,19043
8886.0,9114.0,9495.0,9262.0,08019
82482.0,81472.0,79908.0,78635.0,42033
8192.0,8600.0,8673.0,9012.0,16035
8231.0,8735.0,8821.0,8616.0,27029
14579.0,14990.0,14916.0,15426.0,01029
25292.0,25793.0,25100.0,25226.0,05023
193377.0,199450.0,204275.0,211181.0,39025
8640.0,8597.0,8128.0,7453.0,05025
98331.0,97464.0,97282.0,100991.0,37045
235855.0,264934.0,279274.0,300047.0,40027
7004.0,6777.0,6686.0,6759.0,13065
36235.0,37952.0,37634.0,36954.0,17027
34081.0,32987.0,32273.0,32944.0,18023
49129.0,48663.0,46909.0,46268.0,19045
9443.0,10192.0,10193.0,9202.0,21053
69534.0,76479.0,78389.0,79626.0,26037
20810.0,20545.0,20500.0,21414.0,29049
81755.0,81829.0,80583.0,78493.0,36019
42820.0,41871.0,41957.0,42012.0,39027
37063.0,39611.0,38915.0,37798.0,42035
9367.0,9414.0,8938.0,8898.0,20029
27571.0,25527.0,23255.0,20540.0,28027
5697.0,5877.0,5581.0,5320.0,40029
690430.0,708920.0,751218.0,775208.0,13067
127613.0,130807.0,125867.0,125566.0,04003
3080.0,3031.0,2887.0,2550.0,48079
35406.0,35453.0,35552.0,36813.0,47029
127312.0,135817.0,141274.0,144508.0,04005
26129.0,27598.0,28026.0,28767.0,46029
46802.0,50726.0,51662.0,54920.0,01031
40198.0,42947.0,43021.0,43347.0,13069
51694.0,53151.0,55209.0,59710.0,47031
8472.0,8493.0,8254.0,8308.0,20031
3491.0,3260.0,3303.0,3353.0,48081
54546.0,54491.0,54771.0,58022.0,01033
73737.0,76426.0,76723.0,77032.0,29051
8538.0,8656.0,8334.0,7833.0,48083
52144.0,53655.0,51353.0,46777.0,17029
10100.0,10512.0,10714.0,10641.0,31037
13133.0,13264.0,12168.0,12322.0,35007
39128.0,38247.0,37585.0,38783.0,45029
313165.0,334474.0,371453.0,398291.0,12021
729514.0,836947.0,973977.0,1163337.0,48085
